Nombre,Institucion.Evento,Ciudad,Lugar,Formato,Fecha,anio,Tipo,Cantidad,Rol,Links
Un Sistema de Información para el Inventario de Malezas en Girasol en la Provincia de La Pampa,Jornadas de Informática Industrial – Agroinformática. JAIIO 2008,Santa Fé.,Argentina,In person,8 al 12 de septiembre de 2008,2008,Regular Talk,100,Speaker,https://yabellini.netlify.app/talk/2008_cai_malezas/
Catálogo de Datos Georreferenciados del INTA,Jornadas de Informática Industrial – Agroinformática. JAIIO 2008,Santa Fé.,Argentina,In person,8 al 12 de septiembre de 2008,2008,Regular Talk,100,Speaker,https://yabellini.netlify.app/talk/2008_cai_geointa/
"Red de Estaciones Meteorológicas Automáticas de la Estación Experimental Agropecuaria Anguil, La Pampa",Jornadas de Informática Industrial – Agroinformática. JAIIO 2008,Santa Fé.,Argentina,In person,8 al 12 de septiembre de 2008,2008,Regular Talk,100,Speaker,https://yabellini.netlify.app/talk/2008_agromet_anguil/
Red Termopluviométrica de la Red de Información Agropecuaria Nacional (RIAN),Jornadas de Informática Industrial – Agroinformática. JAIIO 2008,Santa Fé.,Argentina,In person,8 al 12 de septiembre de 2008,2008,Regular Talk,100,Speaker,https://yabellini.netlify.app/talk/2008_agromet_rian/
Atlas Argentino de Fitopatología,I Congreso Argentino de AgroInformática,Mar del Plata (Buenos Aires),Argentina,In person,24 al 28 de Agosto de 2009,2009,Regular Talk,200,Speaker,
Bases para la implementación de un Sistema de Información Agropecuaria en Red,Profesionales Venezolanos,La Pampa,Latin America,In person,junio de 2009,2009,Course,21,Teacher,
El RADAR Meterológico de la EEA Anguil,Jornadas de actualización para profesionales sobre conservación de suelos.,EEA Anguil,Argentina,In person,01/12/2009,2009,Invited Talk,27,Speaker,
Jornada de Capacitación sobre Búsqueda en Google,INTA Central,Buenos Aires,Argentina,In person,9 de octubre de 2009,2009,Course,35,Teacher,
Sistemas de información y base de datos de uso agropecuario,Venezuela,Caracas,Venezuela,In person,2009,2009,Course,70,Teacher,
Taller Nacional “Capacitación del Atlas Fitopatológico Argentino”.,Participantes del Atlas,Córdoba,Argentina,In person,18 y 19 de Noviembre de 2009.,2009,Course,47,Teacher,
,Jornada sobre Cambio Climático y Producción Agropecuaria. ,,Argentina,In person,27 de marzo de 2009.,2009,Invited Talk,50,Speaker,
Alarmas Agropecuarias a Teléfonos Celulares,39 JAIIO- Simposio de Informática en el Estado,Buenos Aires,Latin America,In person,30 de Agosto al 3 de Septiembre de 2010,2010,Regular Talk,80,Speaker,
Información para la gestión del sistema de transferencia y extensión del INTA,39 JAIIO- Simposio de Informática en el Estado,Buenos Aires,Latin America,In person,30 de Agosto al 3 de Septiembre de 2010,2010,Regular Talk,80,Speaker,
