Title,Year,Type_Long,Type,Link,En_mi_web,title_clean
"Lo que queda después del fuego. Sipowicz, A; Lorda, H; Lucchetti, P; Bellini Saibene Y. La Arena del Campo. Diario La Arena. Santa Rosa, La Pampa. 28 de Abril 2001.",2001,Popular science articles,Popular science articles,,,"lo que queda después del fuego. sipowicz, a; lorda, h; lucchetti, p; bellini saibene y. la arena del campo. diario la arena. santa rosa, la pampa. 28 de abril 2001."
"Los incendios rurales. Bellini Yanina, Lucchetti, Pablo, Lorda, Héctor. Agro RADAR Boletín Informativo Nº 6. ISSN: 1666 - 6852. Pp. 6-7. Marzo 2001.",2001,Popular science articles,Popular science articles,,,"los incendios rurales. bellini yanina, lucchetti, pablo, lorda, héctor. agro radar boletín informativo nº 6. issn: 1666 - 6852. pp. 6-7. marzo 2001."
"Los resultados del Trigo”. Superficie, rendimiento y producción de la campaña 2001/2002. Lorda, H. Bellini Saibene, Y. AgroRADAR Boletín Informativo Nº 15. ISSN: 1666 - 6852. Pp. 29-30. Diciembre 2001.",2001,Popular science articles,Popular science articles,,,"los resultados del trigo”. superficie, rendimiento y producción de la campaña 2001/2002. lorda, h. bellini saibene, y. agroradar boletín informativo nº 15. issn: 1666 - 6852. pp. 29-30. diciembre 2001."
"Orientación de la producción bovina en la región RADAR. Lorda, H; Bellini Saibene Y. Desafio 21 Nº 15. pp 24-25. Junio 2001.",2001,Popular science articles,Popular science articles,,,"orientación de la producción bovina en la región radar. lorda, h; bellini saibene y. desafio 21 nº 15. pp 24-25. junio 2001."
RADAR Informa. Forrajes & Granos. Agribusiness Journal. Año 6 Nº 71. Diciembre 2001. Páginas 12 a 14.,2001,Popular science articles,Popular science articles,,,radar informa. forrajes & granos. agribusiness journal. año 6 nº 71. diciembre 2001. páginas 12 a 14.
"RADAR: Un Movimiento Institucional en Apoyo del Desarrollo Regional. Coma, C.; Sipowicz, A.; Bellini Saibene, Y.; Lorda, H. Actas del VII Encuentro de la Asociación Panamericana de Bolsas de Productos. Buenos Aires. Capital Federal. Argentina. Noviembre de 2001. Buenos Aires.",2001,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,,"radar: un movimiento institucional en apoyo del desarrollo regional. coma, c.; sipowicz, a.; bellini saibene, y.; lorda, h. actas del vii encuentro de la asociación panamericana de bolsas de productos. buenos aires. capital federal. argentina. noviembre de 2001. buenos aires."
"Relevamiento Ganadero. Lorda, H; Bellini Saibene Y. AgroRADAR Boletín Informativo Nº 8. ISSN: 1666 - 6852. Pp. 8. Mayo 2001.",2001,Popular science articles,Popular science articles,,,"relevamiento ganadero. lorda, h; bellini saibene y. agroradar boletín informativo nº 8. issn: 1666 - 6852. pp. 8. mayo 2001."
"Zona VI. Lorda, Héctor; Campi, Eduardo; Bellini, Yanina. Agro RADAR Boletín Informativo Nº 7. ISSN: 1666 - 6852. Pp. 1-3. Abril 2001.",2001,Popular science articles,Popular science articles,,,"zona vi. lorda, héctor; campi, eduardo; bellini, yanina. agro radar boletín informativo nº 7. issn: 1666 - 6852. pp. 1-3. abril 2001."
"Zona VII. Campi, Eduardo; Bellini Saibene, Yanina. AgroRADAR Boletín Informativo Nº 8. ISSN: 1666 - 6852. Pp. 1-3. Mayo 2001.",2001,Popular science articles,Popular science articles,,,"zona vii. campi, eduardo; bellini saibene, yanina. agroradar boletín informativo nº 8. issn: 1666 - 6852. pp. 1-3. mayo 2001."
"Zona VIII. Campi, Eduardo; Bellini Saibene, Yanina. AgroRADAR Boletín Informativo Nº 9. ISSN: 1666 - 6852. Pp. 1-3. Junio 2001.",2001,Popular science articles,Popular science articles,,,"zona viii. campi, eduardo; bellini saibene, yanina. agroradar boletín informativo nº 9. issn: 1666 - 6852. pp. 1-3. junio 2001."
