Title,Year,Type_Long,Type,Link,En_mi_web
Adaptando el material de MetaDocencia para el Centro Regional La Pampa - San Luis,2020,Blog post,Blog post,,Si
"Análisis de la participación de la mujer en 10 años del Congreso de Agroinformática en Argentina. Electronic Journal of SADIO. Edición Especial sobre los 10 años del Congreso Argentino de Agroinformática Vol. 19 Núm. ISSN 1514-6774. Argentina. Bellini Saibene, Y., Cock, M., & Lozza, A.",2020,Journals,Journals,,
"Birds of a feather, drawn together",2020,Blog post,Blog post,,Si
Building capacities to teach data science in Latin America,2020,Blog post,Blog post,,Si
Cambiando el diseño visual de los tutoriales,2020,Blog post,Blog post,,Si
"Communities of Practice in Latin America: R and Friends. L. Acion, N. Alarcón, M. Alfaro Córdoba, Z. Bazurto Blacio, Y. Bellini Saibene, M. Benítez Saldívar, E. Campitelli, O. Castillo, J. Chávez, L. Collado Torres, P. Corrales, et al. useR2020. St. Louis, USA",2020,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,,
Cómo colaborar con MetaDocencia,2020,Blog post,Blog post,,Si
Compartiendo trabajo en tiempo real durante tu clase,2020,Blog post,Blog post,,Si
Compartir material educativo y mantener la autoría.,2020,Blog post,Blog post,,Si
Comunidades de Práctica en América Latina. R y Colegas,2020,Blog post,Blog post,,Si
Configurando opciones de seguridad en Zoom,2020,Blog post,Blog post,,Si
Convocatoria a la Jornadas Argentinas de Informática 2020,2020,Noticia,Blog post,https://inta.gob.ar/noticias/convocatoria-a-la-jornadas-argentinas-de-informatica-2020,Si
"Cosechando Datos. Desarrollos para la agricultura en la era digital. Electronic Journal of SADIO. Edición Especial sobre los 10 años del Congreso Argentino de Agrolnformática Vol. 19 Núm. ISSN 1514-6774. 2020. Argentina. Bellini Saibene, Y., Caldera, J., & Ramos, L.",2020,Journals,Journals,,
Creando una página web bilingüe en R,2020,Blog post,Blog post,,Si
Desarrollando capacidades para enseñar ciencia de datos en América Latina,2020,Blog post,Blog post,,Si
"Diez Años del Congreso Argentino de Agroinformática: Un Análisis Histórico del Alcance Geográfico y Redes de Colaboración. Electronic Journal of SADIO. Edición Especial sobre los 10 años del Congreso Argentino de Agroinformática Vol.19 Núm. ISSN 1514-6774. Argentina. da Silva Camargo, S., Bidese de Pinho, L., Bosch, M., Machado, C., & Bellini Saibene, Y.",2020,Journals,Journals,,
El balance de un año loco,2020,Blog post,Blog post,,Si
El pizarrón en la virtualidad. Whiteboard.fi,2020,Blog post,Blog post,,Si
Generando tutoriales interactivos con el paquete learnr,2020,Blog post,Blog post,,Si
Informe de granizo en La Pampa,2020,Articulo de Divulgación,Popular science articles,https://inta.gob.ar/documentos/informe-de-granizo-en-la-pampa,Si
Informe de la tormenta de viento del día 18 de Diciembre de 2020 en La Pampa.,2020,Articulo de Divulgación,Popular science articles,https://inta.gob.ar/documentos/informe-de-la-tormenta-de-viento-del-dia-18-de-diciembre-de-2020-en-la-pampa,Si
"Investigadora de INTA Anguil participa de Metadociencia, un proyecto para capacitar a docentes en educación virtual",2020,Noticia,Blog post,https://inta.gob.ar/noticias/investigadora-de-inta-anguil-participa-de-metadociencia-un-proyecto-para-capacitar-a-docentes-en-educacion-virtual-0,Si
Latin American communities and organizations useR!2020 video,2020,Blog post,Blog post,,Si
Mapas conceptuales en un tutorial interactivo,2020,Blog post,Blog post,,Si
"Meet MetaDocencia: Volunteer Community Building for Teaching in Spanish, Online, and on Short Notice. Open Education Conference 2020. Nicolas Palopoli, Elio Campitelli, Laura Acion, Paola Corrales, Yanina Bellini Saibene.",2020,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,,
Nuestro primer mes enseñando a enseñar,2020,Blog post,Blog post,,Si
Nueva Convocatoria para el Congreso Argentino de Agroinformatica 2020,2020,Noticia,Blog post,https://inta.gob.ar/noticias/nueva-convocatoria-para-el-congreso-argentino-de-agroinformatica-2020,Si
Obtaining RStudio certification. A shared path.,2020,Blog post,Blog post,,Si
Obteniendo la certificación de RStudio. Un camino compartido.,2020,Blog post,Blog post,,Si
Our first month teaching to teach,2020,Blog post,Blog post,,Si
Packaging interactive tutorials,2020,Blog post,Blog post,,Si
Primeros pasos de Git con R,2020,Blog post,Blog post,,Si
"R-Ladies Global, a worldwide organisation to promote gender diversity in the R community. Yanina Bellini Saibene, Claudia Vitolo, Erin LeDell, Hannah Frick y Laura Acion. EGU General Assembly 2020. On-Line (Viena). https://doi.org/10.5194/egusphere-egu2020-20530.",2020,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,,
Receta para un video de fin de año,2020,Blog post,Blog post,,Si
Recipe for a year-end video,2020,Blog post,Blog post,,Si
Recursos digitales para la enseñanza y el aprendizaje colaborativo online,2020,Blog post,Blog post,,Si
Share educational material and maintain authorship.,2020,Blog post,Blog post,,Si
Tutoriales interactivos y personas tipo,2020,Blog post,Blog post,,Si
Un día en la vida de un ayudante de clase on-line,2020,Blog post,Blog post,,Si
Un mapa conceptual sobre {learnr},2020,Blog post,Blog post,,Si
Un paquete para aprender ggplot2,2020,Blog post,Blog post,,Si
"“Precipitation estimations based on remote sensing compared with data from weather stations over agricultural region of Argentina pampas”. Ovando, Gustavo Gabriel; Sayago, Silvina; Bellini Saibene, Yanina Noemi; Belmonte, María Laura; Bocco, Mónica; Remote Sensing Applications: Society and Environment 23 : Article 100589. (August 2021). Elsevier. ISSN: 2021-08-01.",2021,Journals,Journals,,
"{agromet}: un paquete en R para el análisis de datos meteorológicos. N. Gattinoni, P. Corrales, E. Campitelli, Y. Bellini, G. Rodriguez. ANALES DE CAI 2021. CONGRESO ARGENTINO DE AGROINFORMATICA (JAIIO). ISSN 2525-0949",2021,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,http://50jaiio.sadio.org.ar/pdfs/cai/CAI-05.pdf,
"agromet: un paquete para el análisis de datos meteorológicos - Natalia Gattinoni, Paola Corrales, Elio Campitelli, Yanina Bellini y Gabriel Rodriguez. Yanina Bellini Saibene. Actas de LatinR 2021. https://github.com/LatinR/presentaciones-LatinR2021",2021,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,,
Application for The Capentries Executive Council 2021 elections,2021,Blog post,Blog post,,Si
Creando tu r-universe,2021,Blog post,Blog post,,Si
Empaquetando tutoriales,2021,Blog post,Blog post,,Si
Enseñando a enseñar entre comunidades en español,2021,Blog post,Blog post,,Si
