Title,Year,Type_Long,Type,Link
Boletín RIAN La Pampa - San Luis - Mayo-Junio 2010- Nro 76,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-mayo-junio-2010-76
Boletín RIAN La Pampa - San Luis - Noviembre-Diciembre 2010- Nro 82,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-diciembre-2010-nro-82
Boletín RIAN La Pampa - San Luis - Octubre 2010- Nro 81,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-octubre-2010-nro-81
Boletín RIAN La Pampa - San Luis - Septiembre 2010- Nro 80,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/copy_of_boletin-rian-la-pampa-san-luis-septiembre-2010-80
"Caracterización tecnológica y productiva de trigo para La Pampa y San Luis. Belmonte, ML, Fuentes, ME, Bellini,Y. Horizonte Agropecuario Nº 85. Abril 2010. ISSN: 0327-3180. Ediciones INTA.",2010,Popular science articles,Popular science articles,
"Información para la gestión del sistema de transferencia y extensión del INTA. Bellini Saibene, Yanina; Malvido, Agustina; Caldera, Juan. 4to Simposio de Informática en el Estado (SIE). ISSN: 1851-2526. 30 de Agosto al 3 de Septiembre de 2010.",2010,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,
Radar meteorológico en la EEA Anguil,2010,Articulo de Divulgación,Popular science articles,https://inta.gob.ar/documentos/radar-meteorologico-en-la-eea-anguil
"RADAR Meteorológico en la EEA Anguil. Lic. Yanina Bellini Saibene, Ing. Agr. Guillermo Casagrande. Horizonte Agropecuario Nº 85. Abril 2010. ISSN: 0327-3180. Ediciones INTA.",2010,Popular science articles,Popular science articles,
"Sistema de Información “Informe de Estado Hídrico de Suelos”. Bellini Saibene, Y.; Schaab, L.; Ramos, L.; Fuentes M.; Belmonte L. Segundo Congreso Argentino de Agro informática. ISSN: 1852-4850. Editor: SADIO. 30 de Agosto al 3 de Septiembre de 2010.",2010,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,
"“Sistema móvil para carga de datos del informe agronómico mensual del RIAN.” Herrera Germán, Escobar Guillermo, Schaab Lucas, Ramos Lucas, Bellini Saibene Yanina. Anales del Congreso Argentino de AgroInformática 2009. ISSN: 1852-4850. Editor: SADIO. 24 y 25 de Agosto de 2009. Mar del Plata.",2009,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/sistema-movil-para-carga-de-datos-del-informe-agronomico-mensual-del-rian
"Alarmas Agropecuarias a Teléfonos Celulares. Bellini Saibene, Yanina; Suarez, Armando; Schaab, Lucas; Figueruelo Andrea. Anales del Congreso Argentino de AgroInformática 2009. ISSN: 1852-4850. 24 y 25 de Agosto de 2009. Mar del Plata.",2009,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,
Algodón. Manual de Campo,2009,Colaboración,Book Chapters,https://inta.gob.ar/documentos/algodon-manual-de-campo
Boletín RIAN La Pampa - San Luis - Abril 2009- Nro 64,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-abril-2009-64
Boletín RIAN La Pampa - San Luis - Agosto 2009- Nro 67,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2009-67
Boletín RIAN La Pampa - San Luis - Agosto-Septiembre 2009- Nro 69,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-septiembre-2009-nro-69
Boletín RIAN La Pampa - San Luis - Diciembre 2008- Nro 59,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-diciembre-2008-nro-59
Boletín RIAN La Pampa - San Luis - Enero-Febrero 2009- Nro 60,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-enero-febrero-2009-nro-60
Boletín RIAN La Pampa - San Luis - Febrero 2009- Nro 61,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-febrero-2009-nro-61
