Nombre,Institucion.Evento,Lugar,Fecha,anio,Tipo,Cantidad,Rol,Links
Charla “AgroTICs: llevando la informática al campo”.,Santa Rosa.,,15 de mayo de 2017.,2017,Invited Talk,17,Speaker,
R-Ladies Santa Rosa,Santa Rosa. Radio Noticias,,20/04/2017,2017,Podcast,1000,Speaker,
Curso extracurricular “manejo de datos con herramientas libre”,Santa Rosa- La Pampa,,marzo 2017,2017,Course,28,Teacher,
INTA. Radar Meteorologico,Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Octubre,2016,Exhibition,,Speaker,
Curso “Introducción al Uso y Administración de espacios de colaboración de INTA”. Personal EEA Anguil y agencias de extensión.,Anguil- La Pampa,,Junio a Agosto de 2016.,2016,Course,,Teacher,
Sistema de Información y base de datos para el inventario de recursos naturales de La Pampa,10º Simposio Argentino de Informática en el Estado.,Buenos Aires- Argentina.,7 al 9 de Septiembre de 2016.,2016,Regular Talk,,Speaker,
Propuesta para una Infraestructura de Datos Agropecuarios del Instituto Nacional de Tecnología Agropecuaria (INTA),AGRANDA Segundo simposio argentino de grandes datos. ,Buenos Aires- Argentina.,6 y 7 de Septiembre de 2016.,2016,Lightning talk,,Speaker,
8vo Congreso Argentino de AgroInformática. 43 JAIIO,SADIO-INTA. Buenos Aires,,5 y 6 de Septiembre de 2016,2016,Conference,,Chair,
El uso de geotecnologías para el manejo de información agropecuaria,Santa Rosa- La Pampa.,,17 y 18/11/2016,2016,Keynote,100,Speaker,
La industria espacial al servicio del agro,Santa Rosa,,10/11/2016,2016,Podcast,,Speaker,https://inta.gob.ar/audios/la-industria-espacial-al-servicio-del-agro
“La tarea del INTA en La Pampa”. Facultad de Ciencias Humanas.,Santa Rosa,,9 de noviembre de 2016.,2016,Invited Talk,,Speaker,
Radar Meteorológico,Santa Rosa,,17/05/2016,2016,Podcast,,Speaker,https://inta.gob.ar/audios/radar-meteorologico
GeoINTA: aprovechando los mapas del INTA en Internet.,Santa Rosa,,19/04/2016,2016,Podcast,,Speaker,https://inta.gob.ar/audios/yanina-bellini-geointa-aprovechando-los-mapas-del-inta-en-internet
Curso “Introducción a la gestión de contenidos del sitio web de INTA”.,Anguil- La Pampa,,abril 2016,2016,Course,,Teacher,
